Rank,Name,Poss,Offense,Defense,Above Avg,Above Rep,off/100,Def/100,Ovr/100
50,Jaren Jackson,13171.9,18.2,296.8,314.6,578,0.14,2.25,2.39
51,Terry Porter,19499.6,270.6,191.4,465.1,855.1,1.39,0.98,2.39
52,Brad Miller,50134.2,593,602.8,1194,2196.7,1.18,1.2,2.38
53,Robert Horry,42608.4,519,505.6,1013.6,1865.7,1.22,1.19,2.38
54,Paul Pierce,92945.4,1386.8,831,2199.1,4058,1.49,0.89,2.37
55,Andrei Kirilenko,47826,666.6,472,1131.3,2087.8,1.39,0.99,2.37
56,Scottie Pippen,35357.1,691,133.4,825.1,1532.3,1.95,0.38,2.33
57,Greg Minor,4864.4,8,104.5,112.6,209.9,0.16,2.15,2.32
58,Eddie Jones,58358.6,430.5,910,1330.8,2498,0.74,1.56,2.28
59,Toni Kukoc,33128.8,564.2,195.4,753.3,1415.8,1.7,0.59,2.27
60,Patrick Ewing,21874,-32.7,526,493.2,930.7,-0.15,2.4,2.25
61,Mike Conley,34475,668.1,108.2,774,1463.5,1.94,0.31,2.25
62,Andre Iguodala,58244,-124.2,1432.4,1301.1,2466,-0.21,2.46,2.23
63,Jackie Butler,1588,23,12.4,35.4,67.2,1.45,0.78,2.23
64,Anderson Varejao,30796.5,165.1,518,678.5,1294.4,0.54,1.68,2.2
65,Taj Gibson,19752.5,5.6,432.2,433.7,828.8,0.03,2.19,2.2
66,Jerome Kersey,10214.9,-6.5,229.5,223.3,427.6,-0.06,2.25,2.19
67,Greg Ostertag,29038.9,-42.9,665.7,625.3,1206.1,-0.15,2.29,2.15
68,Tony Parker,70043.5,1173.4,338.5,1503.7,2904.6,1.68,0.48,2.15
69,Hersey Hawkins,19613.8,213.2,200.3,414.2,806.5,1.09,1.02,2.11
70,Russell Westbrook,33122,645.8,50.4,695.6,1358.1,1.95,0.15,2.1
71,Shane Battier,62446.5,179.4,1122.8,1304.1,2553,0.29,1.8,2.09
72,Ben Wallace,68248,-206,1629,1415.3,2780.3,-0.3,2.39,2.07
73,Litterial Green,828.1,2,15,17,33.5,0.24,1.81,2.05
74,Yao Ming,31378,102.4,532.5,626.1,1253.7,0.33,1.7,2
75,Danilo Gallinari,18234.5,172.7,189,361.7,726.3,0.95,1.04,1.98
76,Nick Anderson,16485.5,178,149.1,326.2,655.9,1.08,0.9,1.98
77,DeMarre Carroll,10933.5,74.5,133.7,213.7,432.3,0.68,1.22,1.95
78,Marc Gasol,29392.5,-33,615.1,573.7,1161.5,-0.11,2.09,1.95
79,Hot Rod Williams,7815.9,13.8,139,152.4,308.7,0.18,1.78,1.95
80,Buck Williams,4700.6,2.2,88.7,90.8,184.8,0.05,1.89,1.93
81,Lamar Odom,67905.6,242.3,1056.6,1304.6,2662.7,0.36,1.56,1.92
82,Paul George,20695.5,-62.4,451,397.1,811,-0.3,2.18,1.92
83,Mitch Richmond,23315.3,366,71.9,437.9,904.2,1.57,0.31,1.88
84,Thaddeus Young,33142.5,363.5,258,621.5,1284.4,1.1,0.78,1.88
85,Jeff Foster,31623.7,36.5,550,585.1,1217.5,0.12,1.74,1.85
86,Chris Mills,17857.7,74.2,247.9,321.3,678.5,0.42,1.39,1.8
87,Kevin Durant,46729.5,1016.4,-177.3,838.2,1772.8,2.18,-0.38,1.79
88,Josh Smith,54805,51.4,940,981.1,2077.2,0.09,1.72,1.79
89,Ricky Rubio,13139.5,0.7,236.4,234.3,497.1,0.01,1.8,1.78
90,Tim Hardaway,34085.7,628.6,-26.3,606,1287.7,1.84,-0.08,1.78
91,Dennis Rodman,13451.7,184.6,53,238.3,507.3,1.37,0.39,1.77
92,Pau Gasol,71655.5,1156.2,118.3,1259.7,2692.9,1.61,0.17,1.76
93,Ray Allen,98480.7,2299.5,-577,1730.8,3700.4,2.33,-0.59,1.76
94,Kyle Lowry,30962.5,160.1,376.4,539.3,1158.5,0.52,1.22,1.74
95,Danny Green,12613,42.6,175.6,218.2,470.4,0.34,1.39,1.73
96,Tyson Chandler,50192.5,76.2,797.7,860.7,1864.5,0.15,1.59,1.71
97,Sam Perkins,15465.7,200.5,61.5,262.1,571.4,1.3,0.4,1.69
98,Ekpe Udoh,9367.5,-49.1,210.1,158.6,345.9,-0.52,2.24,1.69
99,Kevin Love,26572,485.9,-40.4,448.6,980,1.83,-0.15,1.69
100,Gary Payton,65022.4,1195.6,-106.2,1093.8,2394.3,1.84,-0.16,1.68
101,Reggie Miller,50368.1,992.7,-147.1,846,1853.3,1.97,-0.29,1.68
102,Hakeem Olajuwon,21689.6,-75.3,438.3,363.7,797.5,-0.35,2.02,1.68
103,Grant Hill,57971.8,479.4,498.6,970.2,2129.6,0.83,0.86,1.67
104,Ryan Anderson,18364,333.9,-34.1,301.7,669,1.82,-0.19,1.64
105,Hedo Turkoglu,55184,912.2,-1.9,904.3,2008,1.65,0,1.64
106,Xavier McDaniel,2696.5,25.3,18,43.6,97.5,0.94,0.67,1.62
107,Jason Collins,31641.5,-516.2,1025.3,506.6,1139.5,-1.63,3.24,1.6
108,Pero Antic,1977,-11.9,43.5,31.6,71.2,-0.6,2.2,1.6
109,Bobby Phills,12997.8,91.1,116.4,207.7,467.6,0.7,0.9,1.6
110,Tyrone Corbin,14805.7,52.6,176,227.8,523.9,0.36,1.19,1.54
111,Scott Burrell,8550.1,-15.4,145.5,130.4,301.4,-0.18,1.7,1.52
112,Andrew Bogut,32718,-267.2,769.9,497.1,1151.4,-0.82,2.35,1.52
113,Andrew Gaze,119.2,0.5,1.3,1.8,4.2,0.4,1.09,1.5
114,Anthony Parker,27861.9,278.3,134.2,412.6,969.8,1,0.48,1.48
115,George Hill,25959.5,203.9,180.1,380.9,900.1,0.79,0.69,1.47
116,Tony Allen,26649,-315.3,707.3,385.8,918.8,-1.18,2.65,1.45
117,Deron Williams,48164,1152.8,-466.9,685.1,1648.4,2.39,-0.97,1.42
118,Andre Miller,76920.1,1356.6,-264.9,1086.4,2624.8,1.76,-0.34,1.41
119,Matt Bonner,24770,269.6,78.8,348,843.4,1.09,0.32,1.4
120,Igor Rakocevic,477,4.3,2.4,6.7,16.2,0.9,0.5,1.4
121,Bryon Russell,37483.3,419.2,100.6,522.3,1272,1.12,0.27,1.39
122,Stanley Roberts,3567,-65.4,115.1,49.7,121,-1.83,3.23,1.39
123,Tracy McGrady,61723.6,1116.8,-263.7,856.6,2091.1,1.81,-0.43,1.39
124,Tayshaun Prince,61650,510.8,346.8,854.1,2087.1,0.83,0.56,1.39
125,Chuck Hayes,23239,-204.6,529.8,320.6,785.4,-0.88,2.28,1.38
126,Rashard Lewis,68846,841.2,86.1,936.9,2313.8,1.22,0.13,1.36
127,Roy Hibbert,25929.5,-78.5,426.4,352.3,870.9,-0.3,1.64,1.36
128,Bruce Bowen,52199.4,-316.4,1029.8,697.3,1741.3,-0.61,1.97,1.34
129,Joe Dumars,12299.4,228.6,-64.7,163.9,409.8,1.86,-0.53,1.33
130,Horace Grant,31149.9,9.2,403.1,411.9,1034.9,0.03,1.29,1.32
131,Steven Smith,15410.9,331.1,-127.8,203.3,511.5,2.15,-0.83,1.32
132,Tiago Splitter,10924.5,-8.3,155.9,142.5,361,-0.08,1.43,1.3
133,Chris Andersen,22079,38.6,252.8,286.4,728,0.17,1.15,1.3
134,Rik Smits,15188.7,283.4,-87.5,196.2,500,1.87,-0.58,1.29
135,Jerome Williams,25026.3,133.5,189.4,318.5,819,0.53,0.76,1.27
136,Jamario Moon,12695,4,152.5,157.5,411.4,0.03,1.2,1.24
137,Muggsy Bogues,11572.7,87.3,54.3,141.7,373.2,0.75,0.47,1.22
138,Doug Christie,49403.6,401.1,186.3,601.3,1589.4,0.81,0.38,1.22
139,Charlie Ward,27971.1,203.6,136.6,340.1,899.5,0.73,0.49,1.22
140,Gerald Wallace,49537.5,-331.4,946.3,600.5,1591.3,-0.67,1.91,1.21
141,Omer Asik,10389,-154.7,283.2,124.9,332.7,-1.49,2.73,1.2
142,Jermaine O'Neal,56478.7,-441.9,1109.3,668.5,1798,-0.78,1.96,1.18
143,Aaron McKie,34271.2,-57.4,469.2,402,1087.4,-0.17,1.37,1.17
144,Theo Ratliff,37534.4,-305.4,743.9,439.8,1190.4,-0.81,1.98,1.17
145,Danny Manning,16612.8,46.3,146.6,193.1,525.4,0.28,0.88,1.16
146,Brandon Roy,21917.5,389.7,-120.7,253.5,691.8,1.78,-0.55,1.16
147,Joe Johnson,73589,918,-70.6,846,2317.8,1.25,-0.1,1.15
148,Ime Udoka,11261,-52.1,184.4,128.7,353.9,-0.46,1.64,1.14
149,Landry Fields,11950,116.6,28.5,136.4,375.4,0.98,0.24,1.14
150,Reggie Geary,1829.4,-11.1,31.8,20.7,57.3,-0.61,1.74,1.13
151,Christian Laettner,30479.7,156.9,185.7,344.4,954,0.51,0.61,1.13
152,Derek Fisher,76488.7,266.9,585.4,856.5,2386.3,0.35,0.77,1.12
153,Ty Lawson,23933,464.3,-185.9,265.8,744.5,1.94,-0.78,1.11
154,Anthony Grundy,211,1.7,0.4,2.3,6.5,0.8,0.2,1.1
155,Marcus Camby,59764.3,-128.3,795.6,655.6,1850.9,-0.21,1.33,1.1
156,Mitchell Butler,3309,-0.1,36.2,36.2,102.4,0,1.1,1.09
157,P.J. Brown,54654.4,38.5,573.7,597.6,1690.7,0.07,1.05,1.09
158,Channing Frye,30426,316.5,18.7,332.1,940.6,1.04,0.06,1.09
159,Draymond Green,6990,-53,129.1,76,215.8,-0.76,1.85,1.09
160,Brian Cardinal,12451.5,120.7,10.8,130,379,0.97,0.09,1.04
161,Steve Francis,41521.8,388.1,46.9,432.4,1262.8,0.93,0.11,1.04
162,Shawn Marion,84811.8,162.7,726.7,882.8,2579,0.19,0.86,1.04
163,Joakim Noah,30897.5,92,237.4,321.5,939.5,0.3,0.77,1.04
164,Terrell Brandon,24239.6,497.6,-248.1,249,733.8,2.05,-1.02,1.03
165,Jon Barry,22407.5,195.6,39.9,230.1,678.3,0.87,0.18,1.03
166,J.R. Smith,38636,506.4,-109.5,389,1161.7,1.31,-0.28,1.01
167,Mario Elie,21586.5,221,-5.1,216.3,648,1.02,-0.02,1
168,Brendan Haywood,37255.5,-416.9,786.7,371.1,1116.2,-1.12,2.11,1
169,Devin Harris,34835,458.5,-114.3,343.4,1040.1,1.32,-0.33,0.99
170,Damian Lillard,13889,292.2,-164.3,136.6,414.3,2.1,-1.18,0.98
171,Sam Cassell,53131.9,627.3,-118.1,515.6,1578.2,1.18,-0.22,0.97
172,Larry Johnson,24039.4,65.1,164.6,233,713.8,0.27,0.68,0.97
173,Rajon Rondo,38445,-99.5,475.1,371.7,1140.6,-0.26,1.24,0.97
174,Evan Eschmeyer,4221.6,-21.6,62.8,40.6,125,-0.51,1.49,0.96
175,Evric Gray,87.8,0.5,0.4,0.8,2.6,0.55,0.41,0.96
176,Kenyon Martin,51950,-255.2,755.7,498.5,1537.5,-0.49,1.45,0.96
177,Kenny Anderson,29904.7,178.2,106,284.7,882.8,0.6,0.35,0.95
178,Chauncey Billups,72048.5,1257.6,-580.6,681,2122,1.75,-0.81,0.95
179,Peja Stojakovic,58700,873.4,-332.3,553.3,1727.3,1.49,-0.57,0.94
180,Allen Iverson,79697.2,1297.5,-531.6,748.6,2342.5,1.63,-0.67,0.94
181,Raymond Felton,45619,364.6,65.9,424.8,1337.2,0.8,0.14,0.93
182,Walt Williams,22068.4,199.8,1.5,201.3,642.6,0.91,0.01,0.91
183,Mike Dunleavy,48783,55.1,398.3,442.2,1417.8,0.11,0.82,0.91
184,Gilbert Arenas,39906,663.6,-300.2,355,1153.1,1.66,-0.75,0.89
185,Chris Webber,56718.1,308,190.4,501.1,1635.4,0.54,0.34,0.88
186,Avery Bradley,11081.5,-129.4,227.8,97.9,319.5,-1.17,2.06,0.88
187,Adam Keefe,10245.2,49.4,42.6,90.3,295.2,0.48,0.42,0.88
188,Kyrylo Fesenko,2450,-15,36.6,21.2,70.2,-0.61,1.49,0.87
189,George Lynch,28989.5,-387.4,639,251.3,831,-1.34,2.2,0.87
190,Tyrone Hill,26015.1,-145.8,371.8,225.4,745.7,-0.56,1.43,0.87
191,David West,49164.5,271.6,152.9,423.1,1406.4,0.55,0.31,0.86
192,Darvin Ham,10581.4,-17.9,110.9,89.7,301.3,-0.17,1.05,0.85
193,Ryan Bowen,12495.8,-47.3,154.4,104.9,354.8,-0.38,1.24,0.84
194,Danny Granger,37589,408.9,-80.1,315.3,1067.1,1.09,-0.21,0.84
195,Elton Brand,67783,424.5,131.2,559.8,1915.5,0.63,0.19,0.83
196,Shawn Kemp,27495.7,144.8,82.7,224.2,774.1,0.53,0.3,0.82
197,Popeye Jones,11678.6,113.4,-15.3,94.7,328.3,0.97,-0.13,0.81
198,Jared Jeffries,27238.5,-95.8,326.7,218.9,763.6,-0.35,1.2,0.8
199,Vincent Yarbrough,2629,10.5,10.5,21,73.6,0.4,0.4,0.8
200,Nate Wolters,4289,-51.5,85.8,34.3,120.1,-1.2,2,0.8
201,Scot Pollard,17318.7,-74.5,213.4,137.6,484,-0.43,1.23,0.79
202,John Starks,20669.2,222.2,-58.8,163.7,577.1,1.08,-0.28,0.79
203,Dino Radja,1738.3,-16.5,30.2,13.7,48.5,-0.95,1.74,0.79
204,Reggie Jordan,2365.7,8.7,9.9,18.6,65.9,0.37,0.42,0.79
205,Dan Schayes,1450.5,1.5,9.8,11.3,40.3,0.11,0.67,0.78
206,Vladimir Radmanovic,32765,297.1,-40.5,252.7,908,0.91,-0.12,0.77
207,Jameer Nelson,41866.5,297.4,36,321.1,1158.4,0.71,0.09,0.77
208,Rick Fox,34959.4,270.8,-1.7,267.8,967,0.77,0,0.77
209,Jack Haley,284.5,2.9,-0.7,2.2,7.9,1.01,-0.25,0.76
210,Steve Hamer,560.9,1.9,2.4,4.3,15.5,0.34,0.42,0.76
211,Dale Davis,39246.1,96,193.2,293.9,1078.8,0.24,0.49,0.75
212,Zach Randolph,53912.5,368.6,54.5,399.1,1477.4,0.68,0.1,0.74
213,Isaiah Thomas,15330,256.8,-145,111.8,418.4,1.67,-0.95,0.73
214,Larry Stewart,1997.7,11,3.4,14.4,54.3,0.55,0.17,0.72
215,Chase Budinger,11262.5,105.9,-28.5,79.5,304.7,0.94,-0.25,0.71
216,Harvey Grant,6479.6,-23.2,68.3,45.3,174.9,-0.36,1.05,0.7
217,Danny Ferry,18105.8,184.9,-61.8,123,485.1,1.02,-0.34,0.68
218,Haywoode Workman,2515.1,6.9,10.1,17,67.3,0.28,0.4,0.68
219,Carmelo Anthony,63227.5,1130.4,-701.7,424.4,1689,1.79,-1.11,0.67
220,Robert Parish,809.4,2.8,2.7,5.4,21.6,0.34,0.33,0.67
221,Mark Bradtke,531.3,-4,7.6,3.6,14.2,-0.76,1.43,0.67
222,Mark Jackson,34140.9,273.7,-46.4,228.1,910.9,0.8,-0.14,0.67
223,Eduardo Najera,23785.5,108.6,51.9,158.3,634,0.46,0.22,0.67
224,Darius Songaila,18203.5,13.4,106.3,120,484,0.07,0.58,0.66
225,Keith Askins,5801.8,21,17.4,38,154,0.36,0.3,0.65
226,Yinka Dare,748.1,4.4,0.4,4.8,19.7,0.59,0.05,0.64
227,Anfernee Hardaway,30665.2,3.9,185.6,190,803.3,0.01,0.61,0.62
228,Iman Shumpert,10176.5,-27.1,89.8,62.7,266.2,-0.27,0.88,0.62
229,Jeff Pendergraph,2872,8.6,8.6,17.2,74.7,0.3,0.3,0.6
230,David Vanterpool,799.5,4,1.6,4.8,20.8,0.5,0.2,0.6
231,Jason Thompson,25937,120.9,25.4,152.4,671.2,0.47,0.1,0.59
232,Jared Dudley,27419,92.3,69.4,160.1,708.5,0.34,0.25,0.58
233,Tremaine Fowlkes,2258.5,1.4,12.6,13.1,58.3,0.06,0.56,0.58
234,Darrell Armstrong,40777.7,254.7,-16.9,234.9,1050.5,0.62,-0.04,0.58
235,Ruben Patterson,30859.5,382.9,-204.1,176.1,793.3,1.24,-0.66,0.57
236,Anthony Tolliver,13663,-19.8,99.2,77.7,350.9,-0.14,0.73,0.57
237,Patrick Mills,7722,38,3.3,43.7,198.1,0.49,0.04,0.57
238,Derek Strong,9771.3,-39.7,93.9,54.6,250,-0.41,0.96,0.56
239,Felton Spencer,5916.3,-22.5,55.1,33,151.4,-0.38,0.93,0.56
240,Scott Williams,15069.9,-137.2,216.4,81.8,383.2,-0.91,1.44,0.54
241,Greg Graham,610.5,2.8,0.5,3.3,15.5,0.46,0.08,0.54
242,Horacio Llamas,306,-0.9,2.5,1.6,7.7,-0.29,0.81,0.52
243,Zydrunas Ilgauskas,46885.9,-23.6,275.8,242.3,1180,-0.05,0.59,0.52
244,Brian Cook,11200.5,32,27.6,57,281,0.29,0.25,0.51
245,Klay Thompson,17229.5,139.5,-52.8,86.6,431.2,0.81,-0.31,0.5
246,Paul McPherson,1165,16.3,-10.5,5.8,29.1,1.4,-0.9,0.5
247,Bobby Jackson,34558.4,-28.3,197.4,172.2,863.4,-0.08,0.57,0.5
248,Reggie Slater,6358.5,84.5,-53,31.7,158.8,1.33,-0.83,0.5
249,Jeff Grayer,690.4,6.4,-3,3.4,17.2,0.93,-0.44,0.5
250,Chandler Parsons,16796.5,65.7,17.4,83,419,0.39,0.1,0.49
251,Glen Rice,31641.3,610.6,-461.5,152.4,785.2,1.93,-1.46,0.48
252,Brent Scott,115.4,0.2,0.3,0.6,2.9,0.21,0.27,0.48
253,Gaylon Nickerson,82,0.1,0.3,0.4,2,0.17,0.31,0.48
254,Earl Watson,37771,-58,239.5,180.1,935.5,-0.15,0.63,0.48
255,Dennis Scott,12586.3,38.5,21.5,59.4,311.1,0.31,0.17,0.47
256,Eric Leckner,238.7,0.2,0.9,1.1,5.9,0.08,0.39,0.47
257,Jim McIlvaine,8430.8,-100.1,138.8,38.7,207.3,-1.19,1.65,0.46
258,Andrew DeClercq,19084.8,-104.9,190.1,85,466.7,-0.55,1,0.45
259,Marcin Gortat,24005.5,-90.3,195,106.4,586.5,-0.38,0.81,0.44
260,Greg Oden,3887.5,20.4,-3.2,17.2,95,0.52,-0.08,0.44
261,Richard Hamilton,63501.5,405.3,-133.7,279.8,1549.8,0.64,-0.21,0.44
262,Kevin Johnson,8962.6,267.9,-228.3,39.3,218.6,2.99,-2.55,0.44
263,Matt Barnes,33509,514.6,-364.7,144.8,815,1.54,-1.09,0.43
264,Marko Jaric,21137.5,-51.4,148.9,91.1,513.8,-0.24,0.7,0.43
265,Boris Diaw,51434,-181.1,398.1,216.9,1245.6,-0.35,0.77,0.42
266,Frankie King,143.2,0.6,0,0.6,3.5,0.4,0.02,0.42
267,Derek Anderson,34756,20.5,122.9,145.8,840.9,0.06,0.35,0.42
268,Derrick Rose,22992.5,222.3,-132.9,95.2,555,0.97,-0.58,0.41
269,Jimmy Butler,10039.5,-5,46.2,41.2,242,-0.05,0.46,0.41
270,Travis Best,29391.4,6.4,114.9,119.4,707.2,0.02,0.39,0.41
271,Juaquin Hawkins,1256,1.2,2.5,5,30.1,0.1,0.2,0.4
272,Wesley Matthews,26782,111.8,0,106.8,642.5,0.42,0,0.4
273,Darrick Martin,14678.9,236.7,-178.1,58.3,351.9,1.61,-1.21,0.4
274,Josh Harrellson,2385.5,-32.1,41.7,9.5,57.2,-1.34,1.75,0.4
275,Luc Mbah a Moute,18904,-276.2,359.1,74.3,452.4,-1.46,1.9,0.39
276,Rafer Alston,39434.5,-114,266.3,147.4,936.1,-0.29,0.68,0.37
277,Kyle Korver,44369.5,-31.3,200.6,165,1052.4,-0.07,0.45,0.37
278,Derrick Coleman,26973.5,-99.3,200.3,97.1,636.6,-0.37,0.74,0.36
279,Kurt Thomas,51599.5,-439,632.1,183.5,1215.5,-0.85,1.23,0.36
280,Samuel Dalembert,42630.5,-344.6,499.3,145.9,998.6,-0.81,1.17,0.34
281,Kendall Gill,31484.6,93.6,12,107.7,737.3,0.3,0.04,0.34
282,Gary Grant,1527.7,-5.4,10.7,5.2,35.8,-0.36,0.7,0.34
283,Keon Clark,16257.1,-51.7,103.5,55.6,380.7,-0.32,0.64,0.34
284,Gustavo Ayon,4835.5,-20,38.4,16.4,113.1,-0.41,0.79,0.34
285,Darius Miles,22150,-74.8,141.6,73.3,516.3,-0.34,0.64,0.33
286,Antonio Davis,43286.8,-41.1,186.2,142.9,1008.6,-0.09,0.43,0.33
287,Jason Richardson,58724,1158.3,-958.7,190.5,1365,1.97,-1.63,0.32
288,Raul Lopez,3929,-53.2,65.9,12.6,91.1,-1.35,1.68,0.32
289,Bison Dele,8157.8,-11.8,37.1,25.2,188.4,-0.15,0.45,0.31
290,Stacey Augmon,19772.4,-123.2,191.5,60.4,455.8,-0.62,0.97,0.31
291,Jeff Withey,1324,-1.3,6.6,4,30.5,-0.1,0.5,0.3
292,Toure' Murry,1109,-8.9,12.2,3.3,25.5,-0.8,1.1,0.3
293,Bracey Wright,621.5,-1.7,3.6,1.9,14.3,-0.28,0.58,0.3
294,Marcus Brown,449.5,3.7,-2.3,1.3,10.3,0.82,-0.51,0.3
295,Jackson Vroman,2082.5,1.2,4.9,6.1,47.8,0.06,0.23,0.29
296,Rod Strickland,31089.1,409.4,-318.9,90.2,712,1.32,-1.03,0.29
297,Mark Macon,138.5,0,0.4,0.4,3.2,0,0.3,0.29
298,Korleone Young,29.5,0,0.1,0.1,0.7,-0.09,0.38,0.29
299,Anthony Miller,2063.9,4.8,1.1,5.9,47.2,0.23,0.06,0.29
300,James Jones,20296,123.3,-54.1,57.6,463.5,0.61,-0.27,0.28
301,Mario Chalmers,27294,-193.1,263.8,76.7,622.6,-0.71,0.97,0.28
302,Brent Price,6381.7,46.7,-29,17.8,145.4,0.73,-0.45,0.28
303,Nate Robinson,26755.5,214.1,-142.4,71.6,606.7,0.8,-0.53,0.27
304,Antawn Jamison,76617.3,1450.5,-1249.2,202,1734.3,1.89,-1.63,0.26
305,Jeff Sheppard,367.4,-1.8,2.7,1,8.3,-0.48,0.74,0.26
306,Will Perdue,9825.4,46.9,-22,24.9,221.4,0.48,-0.22,0.25
307,Kyle Weaver,2738.5,-0.3,7.2,6.9,61.7,-0.01,0.26,0.25
308,Devean George,25062,-94.6,158,62.3,563.6,-0.38,0.63,0.25
309,Frank Williams,1869.5,-5.9,9,4.6,42,-0.31,0.48,0.25
310,Othyus Jeffers,916.5,4.5,-2.4,2.2,20.5,0.49,-0.26,0.24
311,Eric Williams,29237.2,-35.6,104.9,68.3,653.1,-0.12,0.36,0.23
312,Brevin Knight,35917.5,-364.8,448.6,83.6,802,-1.02,1.25,0.23
313,Daniel Gibson,19030,125.6,-78.3,44.1,424.7,0.66,-0.41,0.23
314,Shane Heal,614.5,1.6,-0.3,1.4,13.7,0.26,-0.05,0.23
315,Ben Gordon,39977,476.4,-382.7,91.2,890.8,1.19,-0.96,0.23
316,Dwayne Schintzius,363.7,0.7,0.2,0.8,8.1,0.18,0.05,0.22
317,Goran Dragic,22520,222,-172.7,49.8,500.2,0.99,-0.77,0.22
318,Jrue Holiday,23562,0.9,55.2,51.6,522.8,0,0.23,0.22
319,Jamaal Tinsley,29759.5,-112.9,186.6,63.7,658.9,-0.38,0.63,0.21
320,Tyson Wheeler,5.7,0,0,0,0.1,0.24,-0.02,0.21
321,Wesley Person,32419.5,239.3,-173.1,67.1,715.5,0.74,-0.53,0.21
