name,hgt,stre,spd,jmp,endu,ins,dnk,ft,fg,tp,diq,oiq,drb,pss,reb,ovr,new_ovr,diff,hgt_auto,stre_auto,spd_auto,jmp_auto,endu_auto,ins_auto,dnk_auto,ft_auto,fg_auto,tp_auto,diq_auto,oiq_auto,drb_auto,pss_auto,reb_auto,ovr_auto,new_ovr_auto,diff_auto,AUTOdiff
Admiral Schofield,41,61,53,58,32,40,72,42,43,42,40,32,37,32,47,43.32878,44.58003846795498,1.251258467954976,41,61,53,58,32,40,72,42,43,42,40,32,37,32,47,43.32878,44.58003846795498,1.251258467954976,0.0
Adrian Griffin Jr.,48,48,53,52,26,42,52,53,40,47,39,40,30,37,45,43.53688,44.939150718237016,1.4022707182370198,48,48,53,52,26,42,52,53,40,47,39,40,30,37,45,43.53688,44.939150718237016,1.4022707182370198,0.0
Ahmed Hill,40,35,53,46,39,31,49,60,52,52,34,46,55,42,31,43.81838,44.072175879605446,0.25379587960544825,40,35,53,46,39,31,49,60,52,52,34,46,55,42,31,43.81838,44.072175879605446,0.25379587960544825,0.0
Aidan Igiehon,56,66,47,41,32,52,50,45,42,38,45,25,30,15,61,42.31648,42.453634710593505,0.13715471059350648,56,66,47,41,32,52,50,45,42,38,45,25,30,15,61,42.31648,42.453634710593505,0.13715471059350648,0.0
Al Horford,60,80,41,61,60,77,71,50,65,51,43,64,49,70,68,57.75228,55.83650629448578,-1.9157737055142192,60,80,41,61,60,77,71,50,65,51,43,64,49,70,68,57.75228,55.83650629448578,-1.9157737055142192,0.0
Al Jefferson,60,72,38,46,28,70,63,60,55,0,46,58,28,40,62,46.57668,42.93696437132219,-3.6397156286778127,60,72,38,46,28,70,63,60,55,0,46,58,28,40,62,46.57668,42.93696437132219,-3.6397156286778127,0.0
Al-Farouq Aminu,57,75,50,49,60,55,69,66,50,63,52,46,32,39,81,54.33378,53.40872799271644,-0.9250520072835542,57,75,50,49,60,55,69,66,50,63,52,46,32,39,81,54.33378,53.40872799271644,-0.9250520072835542,0.0
Alan Williams,53,76,29,52,42,56,53,47,30,0,54,38,22,30,69,42.59128,39.58712770102965,-3.0041522989703466,53,76,29,52,42,56,53,47,30,0,54,38,22,30,69,42.59128,39.58712770102965,-3.0041522989703466,0.0
Alec Burks,44,36,70,55,52,23,66,66,78,62,45,42,49,33,48,49.87128,49.5265898904835,-0.3446901095164989,44,36,70,55,52,23,66,66,78,62,45,42,49,33,48,49.87128,49.5265898904835,-0.3446901095164989,0.0
Alen Smailagic,60,38,47,55,23,41,55,45,40,29,45,38,33,32,51,43.11308,43.659765901331994,0.5466859013319976,60,38,47,55,23,41,55,45,40,29,45,38,33,32,51,43.11308,43.659765901331994,0.5466859013319976,0.0
Alex Antetokounmpo,41,52,58,63,30,37,52,39,41,30,48,39,23,41,68,43.95648,44.96474919771273,1.0082691977127283,41,52,58,63,30,37,52,39,41,30,48,39,23,41,68,43.95648,44.96474919771273,1.0082691977127283,0.0
Alex Caruso,41,35,55,59,44,46,66,53,62,60,48,52,54,40,39,49.33798,48.62965613815266,-0.7083238618473402,41,35,55,59,44,46,66,53,62,60,48,52,54,40,39,49.33798,48.62965613815266,-0.7083238618473402,0.0
Alex Len,70,65,38,43,42,55,62,43,50,8,54,50,26,24,59,47.39238,43.13945649485387,-4.252923505146136,70,65,38,43,42,55,62,43,50,8,54,50,26,24,59,47.39238,43.13945649485387,-4.252923505146136,0.0
Alex Poythress,54,66,47,55,40,61,58,50,56,30,48,44,36,38,59,47.98448,46.51832417876739,-1.4661558212326113,54,66,47,55,40,61,58,50,56,30,48,44,36,38,59,47.98448,46.51832417876739,-1.4661558212326113,0.0
Alfonzo McKinnie,52,39,62,57,42,43,61,62,65,59,36,44,53,40,58,49.14778,50.65987380642513,1.5120938064251348,52,39,62,57,42,43,61,62,65,59,36,44,53,40,58,49.14778,50.65987380642513,1.5120938064251348,0.0
Alize Johnson,48,54,47,48,30,48,55,53,51,30,52,45,32,25,61,44.61708,42.835355575361234,-1.7817244246387673,48,54,47,48,30,48,55,53,51,30,52,45,32,25,61,44.61708,42.835355575361234,-1.7817244246387673,0.0
Allen Crabbe,45,38,59,55,46,28,64,65,65,70,46,47,50,27,20,49.12088,48.3216919497009,-0.7991880502991009,45,38,59,55,46,28,64,65,65,70,46,47,50,27,20,49.12088,48.3216919497009,-0.7991880502991009,0.0
Allonzo Trier,33,42,68,70,40,37,65,67,65,58,35,49,57,30,38,47.62368,49.246084501058625,1.6224045010586252,33,42,68,70,40,37,65,67,65,58,35,49,57,30,38,47.62368,49.246084501058625,1.6224045010586252,0.0
Amar Sylla,56,40,55,54,28,65,58,52,47,30,44,34,37,29,55,43.95268,44.956205584253794,1.0035255842537936,56,40,55,54,28,65,58,52,47,30,44,34,37,29,55,43.95268,44.956205584253794,1.0035255842537936,0.0
Amida Brimah,68,77,31,39,38,63,71,56,21,0,60,32,12,21,62,44.016980000000004,40.76855419457993,-3.2484258054200765,68,77,31,39,38,63,71,56,21,0,60,32,12,21,62,44.016980000000004,40.76855419457993,-3.2484258054200765,0.0
Amile Jefferson,56,60,53,63,32,55,53,45,32,25,40,42,39,41,60,46.38908,48.19719127664282,1.8081112766428191,56,60,53,63,32,55,53,45,32,25,40,42,39,41,60,46.38908,48.19719127664282,1.8081112766428191,0.0
Amir Coffey,48,35,51,65,46,41,53,31,55,46,26,39,34,27,55,41.37278,42.960544700920295,1.587764700920296,48,35,51,65,46,41,53,31,55,46,26,39,34,27,55,41.37278,42.960544700920295,1.587764700920296,0.0
Amir Johnson,58,80,36,47,44,60,62,50,30,28,61,52,21,39,78,50.39468,47.58090484042662,-2.8137751595733818,58,80,36,47,44,60,62,50,30,28,61,52,21,39,78,50.39468,47.58090484042662,-2.8137751595733818,0.0
Andre Drummond,76,95,61,48,83,78,92,16,40,0,43,54,60,42,99,58.57918000000001,57.03951961134197,-1.5396603886580351,76,95,61,48,83,78,92,16,40,0,43,54,60,42,99,58.57918000000001,57.03951961134197,-1.5396603886580351,0.0
Andre Iguodala,46,62,54,52,25,24,52,60,50,54,55,58,64,62,48,53.41328,52.98672173916567,-0.4265582608343337,46,62,54,52,25,24,52,60,50,54,55,58,64,62,48,53.41328,52.98672173916567,-0.4265582608343337,0.0
Andre Ingram,33,25,48,47,32,22,50,23,52,68,53,41,46,32,30,42.44638,41.51807977873834,-0.928300221261658,33,25,48,47,32,22,50,23,52,68,53,41,46,32,30,42.44638,41.51807977873834,-0.928300221261658,0.0
Andre Roberson,53,68,62,63,62,30,54,0,39,40,63,60,29,44,58,55.12728,53.07381421647504,-2.053465783524956,53,68,62,63,62,30,54,0,39,40,63,60,29,44,58,55.12728,53.07381421647504,-2.053465783524956,0.0
Andrew Bogut,68,73,35,32,22,60,65,0,51,0,63,42,40,60,70,47.74638,43.63947310983842,-4.106906890161582,68,73,35,32,22,60,65,0,51,0,63,42,40,60,70,47.74638,43.63947310983842,-4.106906890161582,0.0
Andrew Harrison,44,25,59,61,44,22,60,60,48,59,55,49,31,40,35,48.40378,47.91919782749399,-0.4845821725060091,44,25,59,61,44,22,60,60,48,59,55,49,31,40,35,48.40378,47.91919782749399,-0.4845821725060091,0.0
Andrew Nembhard,37,28,53,49,38,18,48,52,52,55,29,42,63,70,33,43.65208,45.27130650014819,1.6192265001481942,37,28,53,49,38,18,48,52,52,55,29,42,63,70,33,43.65208,45.27130650014819,1.6192265001481942,0.0
Andrew Wiggins,53,62,75,83,72,93,89,40,87,62,42,59,50,49,69,60.77908,61.257101872277126,0.4780218722771252,53,62,75,83,72,93,89,40,87,62,42,59,50,49,69,60.77908,61.257101872277126,0.4780218722771252,0.0
Anfernee Simons,33,25,66,62,45,52,70,58,59,55,40,56,53,49,38,48.50518,49.19554441360253,0.6903644136025306,33,25,66,62,45,52,70,58,59,55,40,56,53,49,38,48.50518,49.19554441360253,0.6903644136025306,0.0
Angel Delgado,59,55,38,32,20,56,62,43,55,8,52,28,26,39,61,40.68358,37.96583457271387,-2.7177454272861326,59,55,38,32,20,56,62,43,55,8,52,28,26,39,61,40.68358,37.96583457271387,-2.7177454272861326,0.0
Ante Zizic,66,70,38,42,40,73,67,62,22,0,50,56,45,46,82,49.73728,47.964052339494934,-1.7732276605050643,66,70,38,42,40,73,67,62,22,0,50,56,45,46,82,49.73728,47.964052339494934,-1.7732276605050643,0.0
Anthony Bennett,48,67,47,46,38,56,58,53,53,48,50,25,33,10,62,43.70518,43.0783799603157,-0.6268000396842979,48,67,47,46,38,56,58,53,53,48,50,25,33,10,62,43.70518,43.0783799603157,-0.6268000396842979,0.0
Anthony Brown,48,44,56,57,44,30,33,57,58,70,30,44,49,41,26,46.50368,47.962840500540054,1.459160500540051,48,44,56,57,44,30,33,57,58,70,30,44,49,41,26,46.50368,47.962840500540054,1.459160500540051,0.0
Anthony Davis,66,86,66,81,85,90,94,60,92,40,49,69,73,48,85,67.18348,64.88440021553579,-2.2990797844642117,66,86,66,81,85,90,94,60,92,40,49,69,73,48,85,67.18348,64.88440021553579,-2.2990797844642117,0.0
Anthony Edwards,38,42,65,64,52,42,62,55,59,54,40,55,56,31,53,49.63248,50.124329986125915,0.4918499861259136,38,42,65,64,52,42,62,55,59,54,40,55,56,31,53,49.63248,50.124329986125915,0.4918499861259136,0.0
Anthony Tolliver,52,52,42,40,40,46,57,52,66,62,38,53,36,39,45,46.97368,45.03793726012942,-1.9357427398705838,52,52,42,40,40,46,57,52,66,62,38,53,36,39,45,46.97368,45.03793726012942,-1.9357427398705838,0.0
Anton Watson,56,46,42,55,33,54,64,50,39,34,42,32,38,37,62,43.43088,44.36752143697746,0.9366414369774603,56,46,42,55,33,54,64,50,39,34,42,32,38,37,62,43.43088,44.36752143697746,0.9366414369774603,0.0
Antonio Blakeney,37,21,61,63,43,38,72,52,68,60,29,35,55,15,28,41.72058,43.276975821482374,1.5563958214823757,37,21,61,63,43,38,72,52,68,60,29,35,55,15,28,41.72058,43.276975821482374,1.5563958214823757,0.0
Antonius Cleveland,45,15,56,51,26,22,55,49,48,42,44,39,46,47,29,42.34978,42.9987141099361,0.6489341099360999,45,15,56,51,26,22,55,49,48,42,44,39,46,47,29,42.34978,42.9987141099361,0.6489341099360999,0.0
Anzejs Pasecniks,74,40,30,28,27,70,58,5,59,15,39,27,17,17,62,36.91508,34.326113790384206,-2.5889662096157977,74,40,30,28,27,70,58,5,59,15,39,27,17,17,62,36.91508,34.326113790384206,-2.5889662096157977,0.0
Aric Holman,59,42,46,57,20,50,39,50,29,42,43,33,29,20,64,41.81188,44.20462121607113,2.39274121607113,59,42,46,57,20,50,39,50,29,42,43,33,29,20,64,41.81188,44.20462121607113,2.39274121607113,0.0
Arnoldas Kulboka,58,30,51,49,38,25,54,72,61,67,30,47,35,25,25,44.82748,45.05223913624464,0.22475913624463573,58,30,51,49,38,25,54,72,61,67,30,47,35,25,25,44.82748,45.05223913624464,0.22475913624463573,0.0
Aron Baynes,63,81,44,48,59,79,76,50,58,45,50,63,43,48,58,56.77438,53.52994781630989,-3.244432183690108,63,81,44,48,59,79,76,50,58,45,50,63,43,48,58,56.77438,53.52994781630989,-3.244432183690108,0.0
Arturs Zagars,33,26,51,44,24,26,50,30,52,51,29,45,53,56,20,39.70908,40.55525417124303,0.8461741712430282,33,26,51,44,24,26,50,30,52,51,29,45,53,56,20,39.70908,40.55525417124303,0.8461741712430282,0.0
Ashton Hagans,33,24,61,46,42,22,59,40,57,30,40,43,66,63,26,43.701679999999996,43.1381296566432,-0.5635503433567948,33,24,61,46,42,22,59,40,57,30,40,43,66,63,26,43.701679999999996,43.1381296566432,-0.5635503433567948,0.0
Austin Rivers,38,39,64,49,55,45,70,25,70,65,49,52,44,67,27,51.56618,49.93246595036215,-1.6337140496378524,38,39,64,49,55,45,70,25,70,65,49,52,44,67,27,51.56618,49.93246595036215,-1.6337140496378524,0.0
Austin Wiley,59,65,30,21,31,73,42,25,32,0,42,30,20,13,66,35.83858,33.06569839719303,-2.7728816028069687,59,65,30,21,31,73,42,25,32,0,42,30,20,13,66,35.83858,33.06569839719303,-2.7728816028069687,0.0
Avery Bradley,30,56,64,55,56,40,62,53,75,60,55,50,62,64,55,53.78908,52.198732634488834,-1.590347365511164,30,56,64,55,56,40,62,53,75,60,55,50,62,64,55,53.78908,52.198732634488834,-1.590347365511164,0.0
Ayo Dosunmu,40,30,66,57,38,39,50,53,59,63,35,43,52,52,31,46.58628,48.602438589375474,2.016158589375472,40,30,66,57,38,39,50,53,59,63,35,43,52,52,31,46.58628,48.602438589375474,2.016158589375472,0.0
B.J. Johnson,48,29,55,29,32,30,56,25,52,53,41,33,56,53,17,43.09898,42.97874490937478,-0.12023509062521498,48,29,55,29,32,30,56,25,52,53,41,33,56,53,17,43.09898,42.97874490937478,-0.12023509062521498,0.0
Bam Adebayo,58,76,54,66,63,86,85,24,38,0,64,58,45,58,85,56.91408,54.40171664105529,-2.512363358944711,58,76,54,66,63,86,85,24,38,0,64,58,45,58,85,56.91408,54.40171664105529,-2.512363358944711,0.0
Ben McLemore,33,43,63,67,40,53,64,59,58,61,33,39,38,40,40,44.96358,47.24636684762779,2.28278684762779,33,43,63,67,40,53,64,59,58,61,33,39,38,40,40,44.96358,47.24636684762779,2.28278684762779,0.0
Ben Simmons,66,62,72,50,66,75,85,25,45,5,52,65,62,73,82,59.92648,58.68772828048535,-1.2387517195146458,66,62,72,50,66,75,85,25,45,5,52,65,62,73,82,59.92648,58.68772828048535,-1.2387517195146458,0.0
Billy Garrett,44,28,56,48,42,23,60,59,56,43,48,52,42,56,28,47.24628,45.54646611728778,-1.6998138827122204,44,28,56,48,42,23,60,59,56,43,48,52,42,56,28,47.24628,45.54646611728778,-1.6998138827122204,0.0
Billy Preston,59,45,45,44,27,38,53,50,32,0,35,32,36,27,56,38.29338,38.52283572594984,0.22945572594984043,59,45,45,44,27,38,53,50,32,0,35,32,36,27,56,38.29338,38.52283572594984,0.22945572594984043,0.0
Bismack Biyombo,57,75,43,72,40,66,58,37,50,0,57,40,33,31,70,47.49618,45.41691161888482,-2.0792683811151846,57,75,43,72,40,66,58,37,50,0,57,40,33,31,70,47.49618,45.41691161888482,-2.0792683811151846,0.0
Blake Griffin,61,72,58,70,63,80,92,48,70,55,32,50,68,65,81,58.29768,60.01052438819148,1.7128443881914777,61,72,58,70,63,80,92,48,70,55,32,50,68,65,81,58.29768,60.01052438819148,1.7128443881914777,0.0
Boban Marjanovic,82,88,35,20,30,71,67,53,42,0,56,56,12,32,69,49.55888,44.263261686639034,-5.295618313360968,82,88,35,20,30,71,67,53,42,0,56,56,12,32,69,49.55888,44.263261686639034,-5.295618313360968,0.0
Bobby Portis,64,77,51,48,47,60,62,52,44,47,38,53,18,28,73,50.32798,50.08969649907091,-0.2382835009290858,64,77,51,48,47,60,62,52,44,47,38,53,18,28,73,50.32798,50.08969649907091,-0.2382835009290858,0.0
Bogdan Bogdanovic,40,36,66,50,58,43,76,66,76,72,52,53,55,64,56,55.04348,53.94011089793314,-1.1033691020668641,40,36,66,50,58,43,76,66,76,72,52,53,55,64,56,55.04348,53.94011089793314,-1.1033691020668641,0.0
Bojan Bogdanovic,52,40,55,45,55,65,87,68,84,75,49,64,60,40,53,56.15768,53.471570628080784,-2.6861093719192155,52,40,55,45,55,65,87,68,84,75,49,64,60,40,53,56.15768,53.471570628080784,-2.6861093719192155,0.0
Bol Bol,76,37,35,30,20,58,51,62,40,40,52,33,27,17,54,43.07458,41.88710810689217,-1.1874718931078263,76,37,35,30,20,58,51,62,40,40,52,33,27,17,54,43.07458,41.88710810689217,-1.1874718931078263,0.0
Bonzie Colson,44,51,41,44,42,58,51,52,53,52,58,31,26,30,56,44.17098,42.11960348560999,-2.0513765143900073,44,51,41,44,42,58,51,52,53,52,58,31,26,30,56,44.17098,42.11960348560999,-2.0513765143900073,0.0
Borisa Simanic,61,30,47,52,27,36,45,55,53,50,38,38,26,43,52,43.42388,44.39875919922287,0.974879199222876,61,30,47,52,27,36,45,55,53,50,38,38,26,43,52,43.42388,44.39875919922287,0.974879199222876,0.0
Both Gach,48,36,55,57,33,39,48,65,40,42,36,34,43,41,30,42.86508,44.8083106107017,1.943230610701704,48,36,55,57,33,39,48,65,40,42,36,34,43,41,30,42.86508,44.8083106107017,1.943230610701704,0.0
Brad Wanamaker,38,30,51,46,36,10,58,62,57,58,43,47,65,55,25,46.095079999999996,45.4852860290085,-0.6097939709914968,38,30,51,46,36,10,58,62,57,58,43,47,65,55,25,46.095079999999996,45.4852860290085,-0.6097939709914968,0.0
Bradley Beal,45,43,72,70,70,62,87,57,85,73,44,63,63,60,53,59.68558,59.33935104690733,-0.34622895309266966,45,43,72,70,70,62,87,57,85,73,44,63,63,60,53,59.68558,59.33935104690733,-0.34622895309266966,0.0
Brandon Boston,38,19,59,65,32,20,56,55,38,34,52,44,45,34,40,43.635580000000004,44.229545966979785,0.5939659669797805,38,19,59,65,32,20,56,55,38,34,52,44,45,34,40,43.635580000000004,44.229545966979785,0.5939659669797805,0.0
Brandon Clarke,52,64,55,66,42,70,72,32,33,33,55,42,41,39,68,50.61448,51.41720941277677,0.8027294127767703,52,64,55,66,42,70,72,32,33,33,55,42,41,39,68,50.61448,51.41720941277677,0.8027294127767703,0.0
Brandon Goodwin,22,31,62,48,35,38,53,44,43,32,36,45,60,35,25,39.92518,40.38486803698509,0.4596880369850922,22,31,62,48,35,38,53,44,43,32,36,45,60,35,25,39.92518,40.38486803698509,0.4596880369850922,0.0
Brandon Ingram,62,48,59,71,63,85,94,45,85,63,39,68,58,53,69,59.60928,58.998109718661865,-0.6111702813381328,62,48,59,71,63,85,94,45,85,63,39,68,58,53,69,59.60928,58.998109718661865,-0.6111702813381328,0.0
Brandon Knight,33,27,62,48,52,32,74,66,73,71,36,50,68,45,29,48.33558,48.01978327176326,-0.3157967282367409,33,27,62,48,52,32,74,66,73,71,36,50,68,45,29,48.33558,48.01978327176326,-0.3157967282367409,0.0
Brandon Sampson,47,30,62,62,24,18,61,55,56,55,37,42,50,50,21,45.90008,47.87058313471922,1.9705031347192161,47,30,62,62,24,18,61,55,56,55,37,42,50,50,21,45.90008,47.87058313471922,1.9705031347192161,0.0
Brian Bowen II,48,36,54,58,38,33,40,59,45,46,53,29,27,27,56,43.50988,44.03183106823868,0.5219510682386783,48,36,54,58,38,33,40,59,45,46,53,29,27,27,56,43.50988,44.03183106823868,0.5219510682386783,0.0
Briante Weber,20,33,56,46,36,16,45,55,56,20,20,59,68,58,25,39.17678,38.7242798567012,-0.4525001432987992,20,33,56,46,36,16,45,55,56,20,20,59,68,58,25,39.17678,38.7242798567012,-0.4525001432987992,0.0
Brook Lopez,69,80,29,63,52,70,62,40,60,60,60,45,49,50,40,56.015480000000004,53.14460352603305,-2.870876473966952,69,80,29,63,52,70,62,40,60,60,60,45,49,50,40,56.015480000000004,53.14460352603305,-2.870876473966952,0.0
Bruce Brown Jr,40,35,70,62,35,21,35,62,45,63,45,42,73,45,25,49.12018,51.83253265253005,2.7123526525300505,40,35,70,62,35,21,35,62,45,63,45,42,73,45,25,49.12018,51.83253265253005,2.7123526525300505,0.0
Bruno Caboclo,57,43,62,61,33,54,55,58,42,37,56,42,39,39,46,49.85378,50.5063109686764,0.6525309686764018,57,43,62,61,33,54,55,58,42,37,56,42,39,39,46,49.85378,50.5063109686764,0.6525309686764018,0.0
Bruno Fernando,58,67,41,46,47,70,60,48,39,27,34,39,35,39,74,44.94798,45.038788620907724,0.09080862090772257,58,67,41,46,47,70,60,48,39,27,34,39,35,39,74,44.94798,45.038788620907724,0.09080862090772257,0.0
Bryan Antoine,40,24,51,46,30,32,43,48,55,50,36,42,42,28,34,39.81328,39.87004456254249,0.05676456254249018,40,24,51,46,30,32,43,48,55,50,36,42,42,28,34,39.81328,39.87004456254249,0.05676456254249018,0.0
Bryce Thompson,41,24,54,52,28,38,69,62,61,33,45,49,37,39,23,43.08768,41.458864219943365,-1.6288157800566339,41,24,54,52,28,38,69,62,61,33,45,49,37,39,23,43.08768,41.458864219943365,-1.6288157800566339,0.0
Bryn Forbes,32,35,63,62,50,45,64,69,66,72,38,58,65,53,55,51.41078,52.481013331406565,1.0702333314065626,32,35,63,62,50,45,64,69,66,72,38,58,65,53,55,51.41078,52.481013331406565,1.0702333314065626,0.0
Buddy Hield,38,38,65,68,65,62,88,72,82,83,44,62,58,48,79,57.02068,57.167483878977556,0.14680387897755764,38,38,65,68,65,62,88,72,82,83,44,62,58,48,79,57.02068,57.167483878977556,0.14680387897755764,0.0
C.J. McCollum,36,44,61,71,76,69,91,65,89,70,48,60,68,41,59,57.00988,55.0758438931746,-1.9340361068254026,36,44,61,71,76,69,91,65,89,70,48,60,68,41,59,57.00988,55.0758438931746,-1.9340361068254026,0.0
C.J. Miles,44,30,57,47,36,33,63,64,66,70,41,45,56,37,41,47.20148,47.490367278410645,0.2888872784106482,44,30,57,47,36,33,63,64,66,70,41,45,56,37,41,47.20148,47.490367278410645,0.2888872784106482,0.0
C.J. Walker,52,53,54,52,36,53,52,25,34,30,52,44,36,37,35,46.44818,45.86930501463497,-0.578874985365033,52,53,54,52,36,53,52,25,34,30,52,44,36,37,35,46.44818,45.86930501463497,-0.578874985365033,0.0
C.J. Wilcox,41,32,56,39,39,28,37,66,64,67,28,34,48,32,25,41.06248,41.86728007634655,0.8048000763465524,41,32,56,39,39,28,37,66,64,67,28,34,48,32,25,41.06248,41.86728007634655,0.8048000763465524,0.0
C.J. Williams,40,42,53,44,38,31,51,60,46,60,43,52,42,43,16,46.14908,45.31587303186881,-0.8332069681311864,40,42,53,44,38,31,51,60,46,60,43,52,42,43,16,46.14908,45.31587303186881,-0.8332069681311864,0.0
Cade Cunningham,49,57,61,63,38,43,59,40,60,38,35,48,48,49,44,48.419380000000004,49.22713810999298,0.8077581099929745,49,57,61,63,38,43,59,40,60,38,35,48,48,49,44,48.419380000000004,49.22713810999298,0.8077581099929745,0.0
Caleb Martin,41,30,61,50,30,33,50,48,59,52,29,43,46,37,52,42.26448,44.12424403259969,1.859764032599692,41,30,61,50,30,33,50,48,59,52,29,43,46,37,52,42.26448,44.12424403259969,1.859764032599692,0.0
Caleb Swanigan,54,72,38,48,40,65,66,52,39,0,53,48,25,34,68,45.47828,42.171629707955965,-3.306650292044033,54,72,38,48,40,65,66,52,39,0,53,48,25,34,68,45.47828,42.171629707955965,-3.306650292044033,0.0
Cam Reddish,55,36,61,60,32,40,56,43,33,40,46,46,44,50,51,48.40068,50.44650368194265,2.0458236819426503,55,36,61,60,32,40,56,43,33,40,46,46,44,50,51,48.40068,50.44650368194265,2.0458236819426503,0.0
Cam Thomas,33,16,53,46,46,53,52,57,55,62,27,48,43,43,21,41.13688,41.578112727501356,0.4412327275013581,33,16,53,46,46,53,52,57,55,62,27,48,43,43,21,41.13688,41.578112727501356,0.4412327275013581,0.0
Cameron Johnson,53,42,50,56,33,42,47,59,48,53,39,42,41,44,32,45.85588,46.76141207788391,0.9055320778839118,53,42,50,56,33,42,47,59,48,53,39,42,41,44,32,45.85588,46.76141207788391,0.9055320778839118,0.0
Cameron Oliver,52,75,41,55,38,53,61,57,29,60,49,46,26,13,67,47.90078,48.101256948872305,0.20047694887230705,52,75,41,55,38,53,61,57,29,60,49,46,26,13,67,47.90078,48.101256948872305,0.20047694887230705,0.0
Cameron Payne,28,24,56,48,38,19,58,50,58,50,37,52,57,60,33,43.81148,43.50712849493478,-0.30435150506522035,28,24,56,48,38,19,58,50,58,50,37,52,57,60,33,43.81148,43.50712849493478,-0.30435150506522035,0.0
Cameron Reynolds,52,50,56,53,30,45,57,50,48,52,33,41,46,30,57,45.37328,47.53614441005412,2.1628644100541194,52,50,56,53,30,45,57,50,48,52,33,41,46,30,57,45.37328,47.53614441005412,2.1628644100541194,0.0
Caris LeVert,46,40,67,68,59,56,80,45,72,71,41,58,55,41,29,54.37388,54.325457774814865,-0.04842222518513495,46,40,67,68,59,56,80,45,72,71,41,58,55,41,29,54.37388,54.325457774814865,-0.04842222518513495,0.0
Carmelo Anthony,54,64,48,54,48,66,73,53,75,62,45,55,50,42,64,53.582480000000004,51.97247407167217,-1.610005928327837,54,64,48,54,48,66,73,53,75,62,45,55,50,42,64,53.582480000000004,51.97247407167217,-1.610005928327837,0.0
Carsen Edwards,20,25,56,43,46,36,56,71,56,66,25,57,69,62,25,44.09958,44.74142983693893,0.6418498369389241,20,25,56,43,46,36,56,71,56,66,25,57,69,62,25,44.09958,44.74142983693893,0.6418498369389241,0.0
Cassius Winston,26,20,64,47,41,25,70,67,60,50,25,45,71,59,15,42.83248,44.03976224035954,1.2072822403595467,26,20,64,47,41,25,70,67,60,50,25,45,71,59,15,42.83248,44.03976224035954,1.2072822403595467,0.0
Cedi Osman,53,41,54,48,51,28,61,55,72,65,40,59,54,41,56,51.49518,50.16454626795125,-1.3306337320487458,53,41,54,48,51,28,61,55,72,65,40,59,54,41,56,51.49518,50.16454626795125,-1.3306337320487458,0.0
